Name,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
S. L. Bhayana,Male,Hindu,General,15-Apr-1949,,,28-Feb-2006,14-Apr-2011,No,No,Delhi High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,,,1973,Bar Council of Delhi,No,No,No
S N Dhingra,Male,Hindu,General,2-Mar-1949,Delhi,Delhi,28-Feb-2006,1-Mar-2011,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,Yes,Yes,No,No,No,No,No,No,No,No,No,,Delhi Unversity ,B. Sc. ,Delhi University ,1979,,,No,Yes,Yes
Vidya Bhushan Gupta,Male,Hindu,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruna Suresh,Female,Hindu,General,19-Feb-1950,,,4-Jul-2006,17-Feb-2012,No,No,Delhi High Court,Yes,Orissa High Court ,28-Oct-2010,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,Queens Mary School,"Indraprastha College for Women, Delhi University ",,Delhi University,1972,,,No,No,No
S. N. Aggarwal,Male,Hindu,General,25-Aug-1950,,,28-Feb-2006,,,,Delhi High Court ,Yes,Madhya Pradesh High Court ,28-Oct-2010,,,,,,,,,,,Bar,Yes,Yes,No,Yes,No,No,No,No,No,No,No,,Delhi University ,B. Sc.,,,1980,Bar Council of Delhi,No,No,Yes
Madan Bhimrao Lokur,Male,Hindu,General,31-Dec-1953,,,19-Feb-1999,30-Dec-2018,No,No,Delhi High Court,No,,,,,,,Yes,Gauhati High Court ,Andhra Pradesh High Court ,,Yes,4-Jun-2012,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,"St. Josephs Collegiate, Allahabad","St. Stephen's College, Delhi University",History (Hons.),Delhi University ,1977,1977,,No,No,No
Ajit Prakash Shah,Male,Hindu,General,13-Feb-1948,Maharashtra,Solapur,18-Dec-1992,12-Feb-2010,No,No,Bombay High Court ,No,,,,,,,Yes,Madras High Court ,Delhi High Court ,,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,Yes,,,,"Government Law College, Mumbai",,,,No,No,No
Mukul Mudgal,Male,Hindu,General,,,,2-Mar-1998,3-Jan-2011,No,No,Delhi High Court ,No,,,,,,,Yes,Punjan & Haryana High Court,,,No,,Bar,No,Yes,Yes,NA,No,No,No,No,No,No,Yes,"Modern School, Barakhamba Road, New Delhi","Hindu College, Delhi University",B. Sc. (Hons.),Delhi University ,,1973,Bar Council of Delhi,No,No,No
B. N. Chaturvedi,Male,Hindu,General,2-Oct-1947,Uttar Pradesh,Allahabad,1-Dec-2000,1-Oct-2009,No,No,Delhi High Court ,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,No,No,No,No,No,,,,,,1969,Bar Council of Uttar Pradesh,No,Yes,No
Neeraj Kishan Kaul,Male,Hindu,General,23-Nov-1963,,,15-Apr-2009,1-Sep-2009,No,Yes,Delhi High Court ,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,No,"Modern School, Delhi","St. Stephen's College, Delhi University",B.A. (Arts),Delhi University ,1987,1987,Bar Council of Delhi,Yes,No,Yes
