Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Justice Ujjal Bhuyan,Male,Hindu,,2-Aug-1964,Guwahati,Assam,17-Oct-2011,,No,No,Gauhati,Yes,Bombay,3-Oct-2019,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,Yes,No,No,"Cotton College, Guwahati.","Kirori Mal College, Delhi University ",Arts,"Government Law College, Guwahati under Gauhati University",,1991,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh ",No,No,Yes
Justice Manojit Bhuyan,Male,Hindu,,05-02-1959,Guwahati,Assam,03-Jan-2017,04-Feb-2021,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Bar,No,Yes,Yes,NA,Yes,No,Yes,Yes,Yes,No,NA,"Don Bosco School, Guwahati","Cotton College, Guwahati", Honours in English Literature,NA,1987,1987,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh ",No,Yes,No
Justice Mir Alfaz Ali,Male,Muslim,,21-04-1959,Ekrabari in the district of Udalguri,Assam,19-May-2017,,No,No,Gauhati,No,-,,-,,-,,No,-,-,-,No,,Service,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Kharupetia High School,Mangaldoi College,Bachelors degree in Economics (Honours),Gauhati University,,1985,"Assam, Nagaland, Meghalaya, Manipur, and Tripura",No,Yes,No
Justice U. L. N. Bhatt,Male,Hindu,General,01-Jan-1933," Ullal, a village near Mangalore",Karnataka,01-Jan-1980,01-Oct-1995,No,No,Kerala,Yes,Gauhati High Court,31-12-1993,Madhya Pradesh,01-01-1994,-,,Yes,Gauhati,Madhya Pradesh,-,No,,Service,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,NA,NA,NA,Madras Law College,1954,1955,Madras,No,No,No
Justice Dr. B. P. Saraf,Male,Hindu,General,23-Aug-1939,-,-,02-Jan-1989,23-Aug-2001,No,No,Gauhati,Yes,Bombay,11-Dec-1991,Jammu and Kashmir,21-Feb-2000,-,,Yes,-,-,Jammu and Kashmir,No,,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,No,No,NA,NA,NA,NA,,1963,Assam,No,No,No
Justice W. A. Shishak,Male,,,01-Jan-1941,Shangshak village in Ukhrul district,Manipur,02-Jan-1989,01-Jan-2003,No,No,Gauhati,Yes,Chattisgarh,04-Dec-2000,Himachal Pradesh,24-Jan-2002,-,,Yes,-,Chattisgarh,Himachal Pradesh,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,Gauhati University,NA,Delhi University,1965,1967,-,No,No,No
 Justice S Barman Roy,Male,Hindu,General,28-01-1945,-,-,14-Nov-1991,21-Jan-2007,No,No,Gauhati,Yes,Calcutta,03-Oct-1997,Orissa ,09-April-2003,-,,Yes,-,-,Orissa,No,,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,No,No,"Pathabhavan, School Section of Santiniketan, Visva Bharati University","Maharaja Bir Bikram College, Agartala",BA,"University College of Law, Calcutta",1974,1975,Assam,No,No,No
Justice B. K. Roy,Male,Hindu,General,26-12-1944,-,-,31-Oct-1988,27-Dec-2006,No,No,Patna,Yes,Allahabad,28-April-1994,Punjab and Haryana,14-Oct-2002,Gauhati,21-May-2005,Yes,-,Punjab and Haryana,-,No,,Bar,No,Yes,No,NA,No,No,No,No,No,No,No,NA,NA,NA,NA,,,-,No,No,No
Dr. Justice Aftab Hussain Saikia,Male,Muslim,General,07-April-1949,village Dampur under Hajo Police Station in the District of Kamrup,Assam,15-Nov-2000,06-April-2011,No,No,Gauhati,Yes,Sikkim,07-March-2009,Jammu and Kashmir,07-April-2010,-,,Yes,-,Sikkim,-,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,Yes,No,No,NA,"Cotton College, Guwahat",B.Sc.,Gauhati University,1974,1974,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh ",No,No,Yes
Justice Arup Kumar Goswami,Male,Hindu,General,11-March-1961,Jorhat,Assam,24-Jan-2011,,No,No,Gauhati,Yes,Sikkim,15-Oct-2019,Andhra Pradesh,06-Jan-2021,-,,Yes,-,Sikkim,Andhra Pradesh,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,Yes,No,No,NA,Cotton College under Gauhati University,Economics (Hons.),"Government Law College, GuwahatI under Gauhati University",1985,1985,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram and Arunachal Pradesh ",No,No,No
