Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
G. S. Singhvi,Male,Hindu,,12-Dec-1948,Rajasthan,Jodhpur,21-Jul-1990,12-Dec-2013,No,No,Rajasthan High Court,Yes,Punjab & Haryana High Court,28-Apr-1994,Gujarat High Court,28-Feb-2005,,,Yes,Andhra Pradesh High Court,,,Yes,12-Nov-2007,Bar,No,Yes,No,NA,No,No,No,No,No,No,Yes,NA,Jodhpur University,BSc,Rajasthan University,1971,1971,Rajasthan,No,No,No
Kshitij Rameshbhai Vyas,Male,Hindu,,19-Jul-1944,Gujarat,Bhalod,22-Nov-1990,2-Oct-2006,No,No,Gujarat High Court,No,,,,,,,Yes,Bombay High Court,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,NA,"M. S. University, Baroda",1968,1968,Gujarat,No,No,No
Bhawani Singh,Male,Hindu,,28-Mar-1944,NA,NA,16-Dec-1988,28-Mar-2006,No,No,Himachal Pradesh High Court,Yes,Jammu & Kashmir High Court,22-Mar-1996,,,,,Yes,Jammu & Kashmir High Court,Madhya Pradesh High Court,,No,,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,Yes,No,No,NA,"S.D. College, Lahore",NA,"Punjab University, Department of Laws, Chandigarh",,1968,Himachal Pradesh,No,No,No
Manharlal Chimanlal Patel,Male,Hindu,,20-Aug-1944,NA,NA,11-Dec-1997,20-Aug-2006,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Service,Yes,Yes,NA,No,Yes,No,No,No,No,No,No,NA,NA,NA,NA,,1971,Gujarat,No,No,No
Jagdish Madhurlal Panchal,Male,Hindu,,6-Oct-1946,NA,NA,22-Nov-1990,5-Oct-2011,No,No,Gujarat High Court,Yes,Rajasthan High Court,16-Jul-2007,,,,,Yes,Rajasthan High Court ,,,Yes,12-Nov-2007,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,"H. L. College of Commerce, Ahmedabad",BCom,NA,1972,1972,Gujarat,No,No,No
Ramesh Surajmal Garg,Male,Hindu,,18-Jun-1948,NA,NA,15-Apr-1994,18-Jun-2010,No,No,Madhya Pradesh High Court,Yes,Chhatisgarh High Court,1-Nov-2000, Patna High Court,1-Nov-2001,Gujarat High Court,28-Feb-2005,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,Indore Christian College,NA,NA,1971,1971, Madhya Pradesh High Court,No,Yes,No
Kamal Manmatbhai Mehta,Male,Hindu,,28-Sep-1945,NA,NA,17-Sep-1999,29-Sep-2007,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,Yes,NA,NA,BSc,"Sarvajanik Law College, Surat",,1968,Gujarat,No,No,Yes
Akshay Harshadray Mehta,Male,Hindu,,15-Dec-1945,NA,NA,18-Jun-2001,14-Dec-2007,No,No,Gujarat High Court,No,,,,,,,No,,,,No,,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,No,Yes,Rosary High School,NA,NA,M. S. University at Vadodara,,1971,Gujarat,No,No,No
Anil Ramesh Dave,Male,Hindu,,19-Nov-1951,NA,NA,18-Sep-1995,19-Nov-2016,No,No,Gujarat High Court,No ,,,,,,,Yes,Andhra Pradesh High Court,Bombay High Court,,Yes,30-Apr-2010,Bar,No,Yes,No,NA,Yes,No,No,No,No,No,No,NA,NA,BCom,NA,,1976,Gujarat,No,No,Yes
Y. R. Meena,Male,Hindu,,1-Jul-1946,NA,NA,20-Jul-1990,30-Jun-2008,No,No,Rajasthan High Court,Yes,Calcutta High Court,1-Dec-1997,Rajasthan High Court,1-Oct-2001,,,Yes,Gujarat High Court,,,No,,Bar,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,NA,NA,NA,NA,,1968,Gujarat,No,No,No
